projection,Time,SWE
0,1950-01-01,0.0
0,1950-02-01,88.79656
0,1950-03-01,133.55757
0,1950-04-01,144.80873
0,1950-05-01,110.05698
0,1950-06-01,51.140625
0,1950-07-01,1.1584964
0,1950-08-01,0.0014155207
0,1950-09-01,0.0
0,1950-10-01,0.5206379
0,1950-11-01,0.12929918
0,1950-12-01,5.1269436
0,1951-01-01,14.552265
0,1951-02-01,85.18397
0,1951-03-01,119.45047
0,1951-04-01,145.09117
0,1951-05-01,158.28917
0,1951-06-01,76.664696
0,1951-07-01,4.714407
0,1951-08-01,0.014238839
0,1951-09-01,0.0
0,1951-10-01,0.0
0,1951-11-01,1.5241882
0,1951-12-01,50.433613
0,1952-01-01,62.77689
0,1952-02-01,148.68867
0,1952-03-01,195.4324
0,1952-04-01,208.93903
0,1952-05-01,181.98328
0,1952-06-01,51.39862
0,1952-07-01,2.0568278
0,1952-08-01,0.013706072
0,1952-09-01,0.0
0,1952-10-01,0.0
0,1952-11-01,6.3924046
0,1952-12-01,15.931649
0,1953-01-01,45.28263
0,1953-02-01,90.774765
0,1953-03-01,142.7022
0,1953-04-01,155.6502
0,1953-05-01,168.96036
0,1953-06-01,124.85929
0,1953-07-01,26.314547
0,1953-08-01,0.87497413
0,1953-09-01,0.035383616
0,1953-10-01,0.0065419837
0,1953-11-01,0.40235525
0,1953-12-01,40.069527
0,1954-01-01,81.95779
0,1954-02-01,136.9288
0,1954-03-01,182.27135
0,1954-04-01,213.89783
0,1954-05-01,209.34464
0,1954-06-01,127.11078
0,1954-07-01,9.676723
0,1954-08-01,0.027225537
0,1954-09-01,0.0
0,1954-10-01,0.0
0,1954-11-01,0.21549365
0,1954-12-01,31.69347
0,1955-01-01,91.31478
0,1955-02-01,149.99751
0,1955-03-01,169.13857
0,1955-04-01,250.14148
0,1955-05-01,226.41707
0,1955-06-01,37.572563
0,1955-07-01,0.40035594
0,1955-08-01,0.0
0,1955-09-01,0.0
0,1955-10-01,0.0
0,1955-11-01,3.327539
0,1955-12-01,78.47462
0,1956-01-01,123.95945
0,1956-02-01,135.01883
0,1956-03-01,164.67822
0,1956-04-01,250.95412
0,1956-05-01,224.40596
0,1956-06-01,104.14323
0,1956-07-01,5.628007
0,1956-08-01,0.025174832
0,1956-09-01,0.0
0,1956-10-01,1.1095283
0,1956-11-01,6.075459
0,1956-12-01,44.62681
0,1957-01-01,93.97394
0,1957-02-01,132.38634
0,1957-03-01,189.64491
0,1957-04-01,223.5853
0,1957-05-01,217.91124
0,1957-06-01,118.65831
0,1957-07-01,17.11227
0,1957-08-01,0.15366153
0,1957-09-01,0.0
0,1957-10-01,0.0
0,1957-11-01,0.36285496
0,1957-12-01,33.25564
0,1958-01-01,71.61371
0,1958-02-01,110.089035
0,1958-03-01,182.25092
0,1958-04-01,174.81467
0,1958-05-01,225.95169
0,1958-06-01,114.885254
0,1958-07-01,12.769403
0,1958-08-01,0.14601928
0,1958-09-01,0.0
0,1958-10-01,0.0
0,1958-11-01,2.1913173
0,1958-12-01,25.27482
0,1959-01-01,44.738472
0,1959-02-01,94.7251
0,1959-03-01,131.81561
0,1959-04-01,134.06569
0,1959-05-01,91.38852
0,1959-06-01,52.576508
0,1959-07-01,2.0818236
0,1959-08-01,0.02200705
0,1959-09-01,8.277142e-06
0,1959-10-01,0.00027360368
0,1959-11-01,2.0814261
0,1959-12-01,51.3415
0,1960-01-01,87.067856
0,1960-02-01,105.85288
0,1960-03-01,130.48671
0,1960-04-01,133.85838
0,1960-05-01,123.16376
0,1960-06-01,32.02833
0,1960-07-01,0.11918269
0,1960-08-01,0.0
0,1960-09-01,0.0
0,1960-10-01,3.7401772
0,1960-11-01,6.2962837
0,1960-12-01,46.866512
0,1961-01-01,82.42542
0,1961-02-01,135.05608
0,1961-03-01,139.19138
0,1961-04-01,181.36768
0,1961-05-01,145.33154
0,1961-06-01,126.62937
0,1961-07-01,64.745255
0,1961-08-01,1.3117968
0,1961-09-01,0.03926446
0,1961-10-01,0.031098228
0,1961-11-01,0.5198059
0,1961-12-01,12.743567
0,1962-01-01,82.590256
0,1962-02-01,187.49994
0,1962-03-01,206.18738
0,1962-04-01,242.29143
0,1962-05-01,178.58453
0,1962-06-01,116.805046
0,1962-07-01,16.215738
0,1962-08-01,0.8096207
0,1962-09-01,0.078222714
0,1962-10-01,0.07029592
0,1962-11-01,15.737745
0,1962-12-01,66.45284
0,1963-01-01,125.12099
0,1963-02-01,223.07698
0,1963-03-01,250.38809
0,1963-04-01,266.7876
0,1963-05-01,278.94174
0,1963-06-01,181.64684
0,1963-07-01,57.02642
0,1963-08-01,3.5736344
0,1963-09-01,0.67873496
0,1963-10-01,0.3693246
0,1963-11-01,2.302962
0,1963-12-01,13.711751
0,1964-01-01,80.19264
0,1964-02-01,132.66504
0,1964-03-01,176.55698
0,1964-04-01,209.82024
0,1964-05-01,198.49113
0,1964-06-01,52.692837
0,1964-07-01,5.427594
0,1964-08-01,0.33418533
0,1964-09-01,0.13008071
0,1964-10-01,0.12742053
0,1964-11-01,2.9963608
0,1964-12-01,26.662058
0,1965-01-01,61.71462
0,1965-02-01,83.27063
0,1965-03-01,152.87122
0,1965-04-01,206.10352
0,1965-05-01,208.5124
0,1965-06-01,84.53921
0,1965-07-01,1.8166863
0,1965-08-01,0.16143875
0,1965-09-01,0.114431284
0,1965-10-01,0.105864115
0,1965-11-01,0.32453886
0,1965-12-01,11.121726
0,1966-01-01,59.827602
0,1966-02-01,76.92536
0,1966-03-01,81.767815
0,1966-04-01,133.59572
0,1966-05-01,100.74224
0,1966-06-01,40.718754
0,1966-07-01,3.9760592
0,1966-08-01,0.14864723
0,1966-09-01,0.101299316
0,1966-10-01,0.087435566
0,1966-11-01,3.1339414
0,1966-12-01,50.921825
0,1967-01-01,153.58032
0,1967-02-01,153.89769
0,1967-03-01,168.63655
0,1967-04-01,205.45007
0,1967-05-01,159.86504
0,1967-06-01,29.37218
0,1967-07-01,0.57258844
0,1967-08-01,0.07661986
0,1967-09-01,0.03729588
0,1967-10-01,0.029579546
0,1967-11-01,5.9154477
0,1967-12-01,62.949818
0,1968-01-01,126.44487
0,1968-02-01,190.3229
0,1968-03-01,276.60754
0,1968-04-01,292.61276
0,1968-05-01,378.44202
0,1968-06-01,235.23517
0,1968-07-01,60.693127
0,1968-08-01,5.030905
0,1968-09-01,0.7073559
0,1968-10-01,18.691427
0,1968-11-01,38.454983
0,1968-12-01,73.32734
0,1969-01-01,105.80213
0,1969-02-01,140.25203
0,1969-03-01,177.43948
0,1969-04-01,211.98062
0,1969-05-01,178.58398
0,1969-06-01,72.59674
0,1969-07-01,12.49785
0,1969-08-01,0.83829516
0,1969-09-01,0.16727662
0,1969-10-01,0.75446117
0,1969-11-01,12.473147
0,1969-12-01,119.05912
0,1970-01-01,231.80524
0,1970-02-01,261.8794
0,1970-03-01,305.57068
0,1970-04-01,351.38892
0,1970-05-01,324.87955
0,1970-06-01,175.37207
0,1970-07-01,34.474472
0,1970-08-01,1.1199979
0,1970-09-01,0.1497597
0,1970-10-01,0.16998354
0,1970-11-01,9.705151
0,1970-12-01,65.142494
0,1971-01-01,103.63281
0,1971-02-01,147.58409
0,1971-03-01,235.40207
0,1971-04-01,225.07217
0,1971-05-01,140.78842
0,1971-06-01,63.441475
0,1971-07-01,15.69149
0,1971-08-01,0.39375108
0,1971-09-01,0.15164313
0,1971-10-01,8.571745
0,1971-11-01,44.762123
0,1971-12-01,45.385517
0,1972-01-01,72.05957
0,1972-02-01,92.4718
0,1972-03-01,91.97915
0,1972-04-01,113.89607
0,1972-05-01,152.37291
0,1972-06-01,33.946033
0,1972-07-01,1.0051528
0,1972-08-01,0.16003828
0,1972-09-01,0.10683248
0,1972-10-01,1.3111076
0,1972-11-01,4.404292
0,1972-12-01,50.74038
0,1973-01-01,112.80395
0,1973-02-01,177.0072
0,1973-03-01,222.63008
0,1973-04-01,235.57603
0,1973-05-01,184.92099
0,1973-06-01,65.972244
0,1973-07-01,10.2429905
0,1973-08-01,0.40554148
0,1973-09-01,0.13135616
0,1973-10-01,0.12977578
0,1973-11-01,10.309864
0,1973-12-01,71.362885
0,1974-01-01,110.61191
0,1974-02-01,180.59955
0,1974-03-01,211.10986
0,1974-04-01,267.79276
0,1974-05-01,293.34305
0,1974-06-01,119.356926
0,1974-07-01,13.77489
0,1974-08-01,0.43036744
0,1974-09-01,0.14347751
0,1974-10-01,0.13252088
0,1974-11-01,0.13284817
0,1974-12-01,75.695145
0,1975-01-01,119.70461
0,1975-02-01,159.48273
0,1975-03-01,175.66634
0,1975-04-01,155.82533
0,1975-05-01,164.8983
0,1975-06-01,86.56742
0,1975-07-01,9.070835
0,1975-08-01,0.27698094
0,1975-09-01,0.13972211
0,1975-10-01,0.15195729
0,1975-11-01,13.311554
0,1975-12-01,74.23181
0,1976-01-01,111.7458
0,1976-02-01,176.13574
0,1976-03-01,252.74408
0,1976-04-01,295.23834
0,1976-05-01,331.59
0,1976-06-01,236.28224
0,1976-07-01,104.736015
0,1976-08-01,9.32059
0,1976-09-01,1.4219536
0,1976-10-01,1.2621387
0,1976-11-01,1.2923764
0,1976-12-01,90.73653
0,1977-01-01,136.63942
0,1977-02-01,182.34636
0,1977-03-01,215.56943
0,1977-04-01,203.19473
0,1977-05-01,179.67754
0,1977-06-01,80.22274
0,1977-07-01,10.682099
0,1977-08-01,1.2308012
0,1977-09-01,0.3326208
0,1977-10-01,0.229261
0,1977-11-01,18.469059
0,1977-12-01,25.043684
0,1978-01-01,59.557156
0,1978-02-01,75.17177
0,1978-03-01,136.75212
0,1978-04-01,166.2124
0,1978-05-01,238.49452
0,1978-06-01,136.45532
0,1978-07-01,21.100517
0,1978-08-01,0.8436704
0,1978-09-01,0.2541037
0,1978-10-01,0.5264367
0,1978-11-01,32.53259
0,1978-12-01,72.54008
0,1979-01-01,123.650085
0,1979-02-01,247.94171
0,1979-03-01,318.63406
0,1979-04-01,336.28186
0,1979-05-01,249.82288
0,1979-06-01,123.02054
0,1979-07-01,52.79326
0,1979-08-01,5.723436
0,1979-09-01,0.72940826
0,1979-10-01,0.5737168
0,1979-11-01,16.432497
0,1979-12-01,41.523266
0,1980-01-01,52.407475
0,1980-02-01,80.222946
0,1980-03-01,87.78828
0,1980-04-01,68.720985
0,1980-05-01,58.342857
0,1980-06-01,26.08858
0,1980-07-01,1.6103224
0,1980-08-01,0.33353198
0,1980-09-01,0.29280114
0,1980-10-01,0.2764866
0,1980-11-01,16.706264
0,1980-12-01,62.17733
0,1981-01-01,84.777824
0,1981-02-01,109.649124
0,1981-03-01,163.00877
0,1981-04-01,180.55238
0,1981-05-01,156.12923
0,1981-06-01,66.34526
0,1981-07-01,2.0159535
0,1981-08-01,0.29555252
0,1981-09-01,0.2544082
0,1981-10-01,0.25637895
0,1981-11-01,5.1502876
0,1981-12-01,34.532654
0,1982-01-01,69.09161
0,1982-02-01,88.56713
0,1982-03-01,147.21994
0,1982-04-01,194.81885
0,1982-05-01,214.34488
0,1982-06-01,152.28618
0,1982-07-01,13.649678
0,1982-08-01,0.9273434
0,1982-09-01,0.28824502
0,1982-10-01,6.4771996
0,1982-11-01,10.607194
0,1982-12-01,18.233305
0,1983-01-01,56.825752
0,1983-02-01,98.42745
0,1983-03-01,123.589554
0,1983-04-01,134.77094
0,1983-05-01,166.5768
0,1983-06-01,92.05777
0,1983-07-01,9.641359
