projection,month,SWE
0,1,80.310684
0,2,119.71522
0,3,159.114
0,4,176.25246
0,5,121.39295
0,6,21.655111
0,7,0.5221409
0,8,3.562074e-06
0,9,0.0
0,10,0.90034086
0,11,4.3228946
0,12,29.791447
1,1,79.32495
1,2,127.07846
1,3,159.15747
1,4,184.50446
1,5,147.2039
1,6,26.720123
1,7,0.6477706
1,8,1.45661625e-05
1,9,2.0687391e-06
1,10,0.33164203
1,11,4.448031
1,12,31.087801
2,1,65.89277
2,2,108.3361
2,3,140.05971
2,4,159.95898
2,5,129.60536
2,6,36.286636
2,7,1.6160357
2,8,0.0015825314
2,9,0.0
2,10,0.20482531
2,11,1.6057211
2,12,23.708435
3,1,77.87891
3,2,117.0706
3,3,148.65213
3,4,158.69139
3,5,131.0591
3,6,26.524075
3,7,0.9813966
3,8,0.00030913236
3,9,0.02241388
3,10,0.9382429
3,11,5.0016236
3,12,29.548832
4,1,87.25216
4,2,144.18584
4,3,178.23964
4,4,175.63359
4,5,106.27392
4,6,16.449614
4,7,0.5400215
4,8,0.002874527
4,9,0.00021836195
4,10,0.040759463
4,11,3.2858331
4,12,42.134293
5,1,88.75929
5,2,127.45435
5,3,167.46689
5,4,186.30258
5,5,161.37352
5,6,42.831417
5,7,1.5670049
5,8,0.00091542
5,9,9.51651e-07
5,10,0.064936034
5,11,6.51336
5,12,34.558125
6,1,78.91504
6,2,123.976616
6,3,160.32669
6,4,187.64676
6,5,147.93599
6,6,44.580914
6,7,1.9109207
6,8,0.0147712985
6,9,0.000119336655
6,10,0.30318537
6,11,3.171454
6,12,34.8903
7,1,80.80681
7,2,126.450645
7,3,163.34918
7,4,180.53706
7,5,131.78488
7,6,41.435688
7,7,2.3518546
7,8,0.0055648563
7,9,2.483943e-05
7,10,0.09208891
7,11,3.9522061
7,12,31.915152
8,1,59.05349
8,2,105.422386
8,3,132.81825
8,4,144.95924
8,5,115.673744
8,6,23.996296
8,7,1.2491245
8,8,0.026937716
8,9,2.5671477e-06
8,10,0.14182173
8,11,3.7062652
8,12,20.11302
9,1,77.12035
9,2,133.36005
9,3,168.85564
9,4,191.80685
9,5,150.31293
9,6,62.676254
9,7,3.7201195
9,8,0.017813725
9,9,5.416141e-05
9,10,0.24456683
9,11,7.191217
9,12,34.604496
10,1,74.79987
10,2,113.11269
10,3,142.65521
10,4,166.41602
10,5,122.909615
10,6,29.234535
10,7,0.4689173
10,8,1.929326e-06
10,9,5.7229314e-05
10,10,0.18352938
10,11,4.8137746
10,12,30.513803
11,1,83.65202
11,2,130.3029
11,3,177.59172
11,4,203.46298
11,5,162.62831
11,6,43.95685
11,7,2.8982353
11,8,0.021150077
11,9,0.0
11,10,0.27463633
11,11,5.1680074
11,12,41.715374
12,1,75.845245
12,2,131.14458
12,3,170.86406
12,4,182.24034
12,5,123.800064
12,6,31.495113
12,7,0.8915864
12,8,0.0010628032
12,9,3.2486792e-08
12,10,0.30389506
12,11,5.4368887
12,12,32.416203
13,1,68.24781
13,2,114.353935
13,3,146.55745
13,4,153.43593
13,5,119.46678
13,6,16.972641
13,7,0.4920386
13,8,0.0023393312
13,9,7.41364e-06
13,10,0.218038
13,11,3.1687148
13,12,26.736094
14,1,76.67041
14,2,122.83001
14,3,155.7962
14,4,180.53485
14,5,137.54688
14,6,32.254105
14,7,1.0700302
14,8,0.0030025917
14,9,0.00029900356
14,10,0.26552156
14,11,4.9357038
14,12,31.076391
15,1,83.13728
15,2,135.1712
15,3,168.55623
15,4,178.27419
15,5,152.03996
15,6,35.625248
15,7,2.7884314
15,8,0.051245615
15,9,4.0892694e-05
15,10,0.16183566
15,11,6.747149
15,12,33.962215
16,1,68.666275
16,2,112.675865
16,3,149.1027
16,4,165.34395
16,5,121.23338
16,6,32.616653
16,7,0.92478293
16,8,0.0012166183
16,9,6.6260543e-07
16,10,0.6667707
16,11,3.809555
16,12,31.62299
17,1,64.88032
17,2,110.53638
17,3,147.16025
17,4,172.70985
17,5,115.22822
17,6,17.550978
17,7,0.33351052
17,8,0.0
17,9,0.0
17,10,0.05891582
17,11,5.803888
17,12,32.26805
18,1,74.34972
18,2,125.81045
18,3,164.40482
18,4,196.96947
18,5,154.2781
18,6,34.686802
18,7,1.6227392
18,8,0.009519876
18,9,8.08294e-07
18,10,0.22036625
18,11,3.647606
18,12,33.415215
19,1,81.95068
19,2,122.0113
19,3,168.45206
19,4,190.3079
19,5,131.01698
19,6,34.098713
19,7,0.5804006
19,8,0.0
19,9,8.962465e-06
19,10,0.26172265
19,11,4.021481
19,12,37.46718
20,1,92.11133
20,2,142.44598
20,3,182.78358
20,4,210.25084
20,5,199.11133
20,6,67.519325
20,7,6.1891723
20,8,0.14652853
20,9,0.0019147906
20,10,0.22662355
20,11,6.0177293
20,12,47.714966
21,1,78.356186
21,2,120.76153
21,3,153.76395
21,4,156.94502
21,5,126.45187
21,6,27.841213
21,7,0.41833028
21,8,2.2422922e-05
21,9,0.0
21,10,0.81193197
21,11,3.2187607
21,12,33.338146
22,1,72.54534
22,2,120.149315
22,3,150.62256
22,4,160.28574
22,5,122.57155
22,6,21.21098
22,7,0.3654947
22,8,0.00026609335
22,9,0.00024905574
22,10,0.16042085
22,11,4.1013775
22,12,31.212816
23,1,86.2597
23,2,135.9442
23,3,170.27455
23,4,195.35342
23,5,157.62164
23,6,27.806288
23,7,1.454101
23,8,0.0052822535
23,9,3.4451718e-06
23,10,0.08349944
23,11,7.1223893
23,12,36.561237
24,1,91.90898
24,2,143.02617
24,3,192.61446
24,4,217.75502
24,5,181.43083
24,6,36.070908
24,7,1.352579
24,8,0.0016880947
24,9,8.5585205e-05
24,10,0.09942039
24,11,6.3268523
24,12,41.813877
25,1,77.56861
25,2,123.473595
25,3,159.67917
25,4,158.0952
25,5,90.22665
25,6,13.034209
25,7,0.7619313
25,8,0.003051732
25,9,0.00014554731
25,10,0.02654769
25,11,3.4634318
25,12,34.97319
26,1,81.877945
26,2,137.08722
26,3,189.75505
26,4,218.59886
26,5,181.75215
26,6,49.54363
26,7,3.1040738
26,8,0.045144755
26,9,0.0010329426
26,10,0.6065422
26,11,4.217173
26,12,36.18037
27,1,75.88189
27,2,119.66318
27,3,157.52513
27,4,192.92168
27,5,138.63264
27,6,41.332325
27,7,1.6960732
27,8,0.01184855
27,9,0.0
27,10,1.1423802
27,11,4.911539
27,12,32.386555
28,1,76.941315
28,2,125.54494
28,3,163.7768
28,4,173.31914
28,5,141.68895
28,6,47.34905
