om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
80,1955,04,12,1955-04-12,13:00:00,3,CO,8,1,1,0,0,4.0,0.0,40.15,-102.97,0.0,0.0,0.1,10,1,1,1,121,0,0,0,1
182,1955,05,12,1955-05-12,17:30:00,3,CO,8,3,1,0,0,3.0,0.0,40.17,-105.1,0.0,0.0,0.1,150,1,1,1,13,0,0,0,0
185,1955,05,15,1955-05-15,01:00:00,3,CO,8,5,0,0,0,0.0,0.0,38.9,-102.5,0.0,0.0,0.1,10,1,1,1,17,0,0,0,1
184,1955,05,15,1955-05-15,01:00:00,3,CO,8,4,1,0,0,4.0,0.0,39.1,-102.75,0.0,0.0,0.1,10,1,1,1,63,0,0,0,1
163,1955,05,09,1955-05-09,13:00:00,3,CO,8,2,1,0,0,2.0,0.0,40.2,-104.82,0.0,0.0,0.1,100,1,1,1,123,0,0,0,1
409,1955,06,18,1955-06-18,13:50:00,3,CO,8,7,2,1,0,5.0,0.0,40.65,-102.65,40.62,-102.55,4.9,83,1,1,1,95,0,0,0,0
422,1955,06,19,1955-06-19,18:30:00,3,CO,8,10,0,0,0,0.0,0.0,37.18,-102.72,0.0,0.0,0.1,10,1,1,1,9,0,0,0,1
421,1955,06,19,1955-06-19,18:30:00,3,CO,8,9,0,0,0,0.0,0.0,37.18,-102.72,0.0,0.0,0.1,10,1,1,1,9,0,0,0,1
420,1955,06,19,1955-06-19,18:30:00,3,CO,8,8,0,0,0,0.0,0.0,37.18,-102.72,0.0,0.0,0.1,10,1,1,1,9,0,0,0,1
431,1955,06,26,1955-06-26,19:00:00,3,CO,8,11,1,0,0,2.0,0.0,40.57,-104.37,0.0,0.0,0.1,10,1,1,1,123,0,0,0,1
439,1955,06,27,1955-06-27,17:00:00,3,CO,8,13,0,0,0,1.0,0.0,40.5,-104.5,0.0,0.0,0.1,10,1,1,1,123,0,0,0,1
438,1955,06,27,1955-06-27,17:00:00,3,CO,8,12,0,0,0,1.0,0.0,40.5,-104.5,0.0,0.0,0.1,10,1,1,1,123,0,0,0,1
318,1955,06,04,1955-06-04,12:20:00,3,CO,8,6,0,0,0,0.0,0.0,38.58,-103.92,0.0,0.0,0.1,10,1,1,1,73,0,0,0,1
477,1955,07,10,1955-07-10,17:00:00,3,CO,8,16,2,0,0,3.0,0.0,37.45,-105.87,0.0,0.0,0.1,10,1,1,1,3,0,0,0,0
478,1955,07,10,1955-07-10,22:00:00,3,CO,8,17,2,0,0,3.0,0.0,40.52,-104.7,40.58,-104.73,4.3,10,1,1,1,123,0,0,0,0
497,1955,07,31,1955-07-31,13:00:00,3,CO,8,18,3,0,0,3.0,0.0,37.43,-105.43,0.0,0.0,0.5,100,1,1,1,23,0,0,0,0
457,1955,07,02,1955-07-02,21:00:00,3,CO,8,14,1,0,0,2.0,0.0,39.98,-104.53,0.0,0.0,0.1,10,1,1,1,1,0,0,0,1
473,1955,07,08,1955-07-08,22:00:00,3,CO,8,15,2,0,0,3.0,0.0,40.25,-103.75,0.0,0.0,0.1,33,1,1,1,87,0,0,0,0
472,1956,10,24,1956-10-24,18:10:00,3,CO,8,9,0,0,0,1.0,0.0,38.55,-103.68,0.0,0.0,0.1,10,1,1,1,73,0,0,0,1
280,1956,06,19,1956-06-19,17:00:00,3,CO,8,2,2,0,0,2.0,0.0,40.27,-103.83,0.0,0.0,0.1,10,1,1,1,87,0,0,0,0
297,1956,06,25,1956-06-25,19:00:00,3,CO,8,3,1,0,0,2.0,0.0,37.48,-105.85,0.0,0.0,0.1,10,1,1,1,3,0,0,0,0
250,1956,06,01,1956-06-01,17:00:00,3,CO,8,1,2,0,0,0.0,0.0,40.42,-103.63,0.0,0.0,0.1,10,1,1,1,87,0,0,0,0
349,1956,07,12,1956-07-12,17:00:00,3,CO,8,10,2,0,0,0.0,0.0,38.05,-103.23,0.0,0.0,5.0,10,1,1,1,71,0,0,0,0
361,1956,07,13,1956-07-13,21:00:00,3,CO,8,4,0,0,0,0.0,0.0,40.3,-102.8,0.0,0.0,0.1,10,1,1,1,121,0,0,0,1
368,1956,07,17,1956-07-17,15:36:00,3,CO,8,5,0,0,0,0.0,0.0,39.2,-103.63,0.0,0.0,0.1,10,1,1,1,73,0,0,0,0
377,1956,07,19,1956-07-19,17:00:00,3,CO,8,8,0,0,0,0.0,0.0,38.0,-103.25,0.0,0.0,0.1,10,1,1,1,11,0,0,0,1
376,1956,07,19,1956-07-19,17:00:00,3,CO,8,7,0,0,0,0.0,0.0,38.0,-103.25,0.0,0.0,0.1,10,1,1,1,11,0,0,0,1
375,1956,07,19,1956-07-19,17:00:00,3,CO,8,6,1,0,0,2.0,0.0,38.0,-103.25,0.0,0.0,0.1,10,1,1,1,11,0,0,0,1
197,1957,04,21,1957-04-21,20:00:00,3,CO,8,1,0,0,0,2.0,0.0,39.27,-103.7,0.0,0.0,0.1,10,1,1,1,121,0,0,0,0
200,1957,04,22,1957-04-22,12:00:00,3,CO,8,2,2,0,0,2.0,0.0,39.3,-102.3,0.0,0.0,0.3,10,1,1,1,63,0,0,0,0
352,1957,05,20,1957-05-20,11:00:00,3,CO,8,3,0,0,0,2.0,0.0,39.25,-102.4,39.9,-101.78,70.1,10,2,0,1,0,0,0,0,0
352,1957,05,20,1957-05-20,11:00:00,3,CO,8,3,0,0,0,2.0,0.0,39.25,-102.4,39.43,-102.05,22.5,10,2,1,2,63,0,0,0,0
440,1957,05,24,1957-05-24,15:30:00,3,CO,8,4,1,0,0,2.0,0.0,38.05,-103.58,0.0,0.0,0.1,10,1,1,1,89,0,0,0,1
441,1957,05,24,1957-05-24,16:00:00,3,CO,8,5,1,0,0,2.0,0.0,40.63,-104.67,0.0,0.0,4.0,10,1,1,1,123,0,0,0,0
442,1957,05,24,1957-05-24,16:00:00,3,CO,8,6,1,0,0,2.0,0.0,40.63,-104.77,0.0,0.0,0.1,10,1,1,1,123,0,0,0,0
443,1957,05,24,1957-05-24,16:00:00,3,CO,8,7,1,0,0,1.0,0.0,39.43,-102.27,0.0,0.0,0.4,10,1,1,1,63,0,0,0,0
478,1957,05,29,1957-05-29,14:00:00,3,CO,8,8,1,0,0,2.0,0.0,40.77,-105.18,40.73,-105.07,6.1,10,1,1,1,69,0,0,0,0
479,1957,05,29,1957-05-29,15:30:00,3,CO,8,10,0,0,0,1.0,0.0,40.37,-104.62,0.0,0.0,0.1,10,1,1,1,123,0,0,0,1
480,1957,05,29,1957-05-29,16:00:00,3,CO,8,9,0,0,0,1.0,0.0,40.7,-104.82,0.0,0.0,5.0,10,1,1,1,123,0,0,0,0
493,1957,05,30,1957-05-30,16:00:00,3,CO,8,14,0,0,0,0.0,0.0,40.13,-102.97,0.0,0.0,0.1,10,1,1,1,121,0,0,0,1
492,1957,05,30,1957-05-30,16:00:00,3,CO,8,13,0,0,0,0.0,0.0,40.17,-103.2,0.0,0.0,0.1,10,1,1,1,121,0,0,0,1
491,1957,05,30,1957-05-30,16:00:00,3,CO,8,11,2,0,0,3.0,0.0,40.47,-104.93,40.55,-104.82,9.1,10,1,1,1,69,123,0,0,0
