om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
137,1955,05,16,1955-05-16,20:30:00,3,CO,8,1,60.0,0,0,0.0,0.0,40.2,-103.18,0.0,0.0,0,0,0,0,0,121,0,0,0,
328,1955,07,26,1955-07-26,16:00:00,3,CO,8,2,0.0,0,0,0.0,0.0,38.2,-103.9,0.0,0.0,0,0,0,0,0,25,0,0,0,
363,1955,08,15,1955-08-15,16:40:00,3,CO,8,3,0.0,0,0,0.0,0.0,38.28,-104.5,0.0,0.0,0,0,0,0,0,101,0,0,0,
157,1956,05,22,1956-05-22,19:15:00,3,CO,8,1,78.0,0,0,0.0,0.0,38.78,-102.58,0.0,0.0,0,0,0,0,0,17,0,0,0,
165,1956,05,26,1956-05-26,19:45:00,3,CO,8,2,0.0,0,0,0.0,0.0,38.78,-102.28,0.0,0.0,0,0,0,0,0,17,0,0,0,
227,1956,06,15,1956-06-15,18:00:00,3,CO,8,5,0.0,0,0,0.0,0.0,40.38,-104.68,0.0,0.0,0,0,0,0,0,123,0,0,0,
232,1956,06,16,1956-06-16,17:23:00,3,CO,8,6,0.0,0,0,0.0,0.0,40.58,-102.68,0.0,0.0,0,0,0,0,0,75,0,0,0,
262,1956,06,23,1956-06-23,13:15:00,3,CO,8,7,0.0,0,0,0.0,0.0,37.28,-104.3,0.0,0.0,0,0,0,0,0,71,0,0,0,
275,1956,06,25,1956-06-25,18:03:00,3,CO,8,8,67.0,0,0,0.0,0.0,40.5,-102.68,0.0,0.0,0,0,0,0,0,75,0,0,0,
201,1956,06,05,1956-06-05,16:00:00,3,CO,8,3,0.0,0,0,0.0,0.0,40.78,-102.58,0.0,0.0,0,0,0,0,0,95,0,0,0,
203,1956,06,05,1956-06-05,18:18:00,3,CO,8,4,65.0,0,0,0.0,0.0,40.78,-102.4,0.0,0.0,0,0,0,0,0,95,0,0,0,
450,1956,07,17,1956-07-17,21:00:00,3,CO,8,9,0.0,0,0,0.0,0.0,40.28,-103.8,0.0,0.0,0,0,0,0,0,87,0,0,0,
454,1956,07,18,1956-07-18,17:00:00,3,CO,8,10,0.0,0,0,0.0,0.0,39.28,-103.5,0.0,0.0,0,0,0,0,0,73,0,0,0,
562,1956,08,09,1956-08-09,17:40:00,3,CO,8,11,70.0,0,0,0.0,0.0,40.58,-102.28,0.0,0.0,0,0,0,0,0,95,0,0,0,
563,1956,08,09,1956-08-09,17:42:00,3,CO,8,12,65.0,0,0,0.0,0.0,40.5,-102.5,0.0,0.0,0,0,0,0,0,95,0,0,0,
66,1957,04,15,1957-04-15,16:00:00,3,CO,8,1,0.0,0,0,0.0,0.0,39.78,-104.9,0.0,0.0,0,0,0,0,0,31,0,0,0,
436,1957,06,29,1957-06-29,16:00:00,3,CO,8,2,0.0,0,0,0.0,0.0,38.0,-102.08,0.0,0.0,0,0,0,0,0,99,0,0,0,
516,1957,07,09,1957-07-09,16:00:00,3,CO,8,3,0.0,0,0,0.0,0.0,38.0,-103.68,0.0,0.0,0,0,0,0,0,89,0,0,0,
660,1957,08,21,1957-08-21,18:52:00,3,CO,8,5,67.0,0,0,0.0,0.0,40.38,-103.58,0.0,0.0,0,0,0,0,0,87,0,0,0,
597,1957,08,02,1957-08-02,23:30:00,3,CO,8,4,65.0,0,0,0.0,0.0,40.2,-105.18,0.0,0.0,0,0,0,0,0,13,0,0,0,
177,1958,05,27,1958-05-27,20:00:00,3,CO,8,1,0.0,0,0,0.0,0.0,37.28,-103.4,0.0,0.0,0,0,0,0,0,71,0,0,0,
315,1958,06,27,1958-06-27,19:00:00,3,CO,8,2,0.0,0,0,0.0,0.0,40.0,-104.8,0.0,0.0,0,0,0,0,0,1,0,0,0,
393,1958,07,16,1958-07-16,17:30:00,3,CO,8,4,0.0,0,0,0.0,0.0,38.28,-104.5,0.0,0.0,0,0,0,0,0,101,0,0,0,
396,1958,07,18,1958-07-18,16:00:00,3,CO,8,5,0.0,0,0,0.0,0.0,39.28,-104.5,0.0,0.0,0,0,0,0,0,39,0,0,0,
422,1958,07,24,1958-07-24,19:00:00,3,CO,8,6,0.0,0,0,0.0,0.0,40.5,-104.9,0.0,0.0,0,0,0,0,0,123,0,0,0,
426,1958,07,25,1958-07-25,19:00:00,3,CO,8,7,0.0,0,0,0.0,0.0,38.08,-104.0,0.0,0.0,0,0,0,0,0,89,0,0,0,
322,1958,07,02,1958-07-02,19:00:00,3,CO,8,3,0.0,0,0,0.0,0.0,41.0,-102.28,0.0,0.0,0,0,0,0,0,115,0,0,0,
537,1958,08,15,1958-08-15,19:15:00,3,CO,8,8,0.0,0,0,0.0,0.0,40.08,-102.18,0.0,0.0,0,0,0,0,0,125,0,0,0,
544,1958,08,19,1958-08-19,16:00:00,3,CO,8,9,0.0,0,0,0.0,0.0,40.0,-105.18,0.0,0.0,0,0,0,0,0,13,0,0,0,
259,1959,05,30,1959-05-30,16:30:00,3,CO,8,2,0.0,0,0,0.0,0.0,40.2,-103.18,0.0,0.0,0,0,0,0,0,121,0,0,0,
164,1959,05,04,1959-05-04,15:00:00,3,CO,8,1,0.0,0,0,0.0,0.0,40.58,-102.28,0.0,0.0,0,0,0,0,0,95,0,0,0,
348,1959,06,26,1959-06-26,16:00:00,3,CO,8,4,65.0,0,0,0.0,0.0,40.58,-103.18,0.0,0.0,0,0,0,0,0,75,0,0,0,
287,1959,06,07,1959-06-07,23:00:00,3,CO,8,3,0.0,0,0,0.0,0.0,40.08,-104.8,0.0,0.0,0,0,0,0,0,123,0,0,0,
390,1959,07,06,1959-07-06,11:30:00,3,CO,8,5,59.0,0,0,0.0,0.0,39.78,-104.9,0.0,0.0,0,0,0,0,0,31,0,0,0,
395,1959,07,07,1959-07-07,15:25:00,3,CO,8,6,0.0,0,0,0.0,0.0,39.78,-104.9,0.0,0.0,0,0,0,0,0,31,0,0,0,
139,1960,05,19,1960-05-19,17:00:00,3,CO,8,1,0.0,0,0,0.0,0.0,37.5,-102.28,0.0,0.0,0,0,0,0,0,9,0,0,0,
187,1960,05,27,1960-05-27,16:00:00,3,CO,8,2,0.0,0,0,0.0,0.0,40.78,-102.5,0.0,0.0,0,0,0,0,0,95,0,0,0,
245,1960,06,11,1960-06-11,17:00:00,3,CO,8,3,0.0,0,0,0.0,0.0,38.08,-104.0,0.0,0.0,0,0,0,0,0,89,0,0,0,
